sid	gid	select_reason	row	season
UFMu-00317	Zm00001d043076	eQTL	UM012	S13
UFMu-05781	Zm00001d046441|Zm00001d052357	eQTL|multi-fam	UM057	S13
UFMu-05983	Zm00001d028962	multi-fam	UM007	S13
UFMu-05989	Zm00001d020881	multi-fam	UM010	S13
UFMu-06504	Zm00001d026094	multi-fam	UM081	S13
UFMu-06526	Zm00001d012916	multi-fam	UM011	S13
UFMu-08182	Zm00001d006702	multi-fam	UM017	S13
UFMu-00317	Zm00001d043076	eQTL	NS12766	S16
UFMu-02115	Zm00001d052738	multi-fam	NS12846	S16
UFMu-03655	Zm00001d032923	biomAP,multi-fam	NS12842	S16
UFMu-06347	Zm00001d016674	multi-fam	NS12844	S16
UFMu-06432	Zm00001d040464	biomAP	NS12720	S16
UFMu-07611	Zm00001d016674	multi-fam	NS12845	S16
UFMu-08182	Zm00001d006702	multi-fam	NS12858	S16
UFMu-08399	Zm00001d052738	multi-fam	NS12847	S16
UFMu-08727	Zm00001d032923	biomAP,multi-fam	NS12843	S16
UFMu-09400	Zm00001d043076	eQTL	NS12809	S16
UFMu-10752	Zm00001d026094	multi-fam	NS12736	S16
UFMu-10752	Zm00001d026094	multi-fam	NS12841	S16
UFMu-12261	Zm00001d052847	multi-fam	NS12740	S16
UFMu-01137	Zm00001d032923	biomAP,multi-fam	NS13141	S17
UFMu-00183	Zm00001d034601	biomAP	NA	NA
UFMu-00206	Zm00001d033876	biomAP	NA	NA
UFMu-00247	Zm00001d041397	multi-fam	NA	NA
UFMu-00274	Zm00001d006091	multi-fam	NA	NA
UFMu-00298	Zm00001d006091	multi-fam	NA	NA
UFMu-00322	Zm00001d053775	multi-fam	NA	NA
UFMu-00457	Zm00001d011252	eQTL	NA	NA
UFMu-00469	Zm00001d036148	eQTL	NA	NA
UFMu-00589	Zm00001d006702	multi-fam	NA	NA
UFMu-00801	Zm00001d012749	multi-fam	NA	NA
UFMu-00892	Zm00001d010956	biomAP	NA	NA
UFMu-00903	Zm00001d040302	eQTL	NA	NA
UFMu-00932	Zm00001d020019	eQTL	NA	NA
UFMu-00943	Zm00001d020019	eQTL	NA	NA
UFMu-01055	Zm00001d039306	biomAP	NA	NA
UFMu-01078	Zm00001d005029	eQTL	NA	NA
UFMu-01106	Zm00001d024268	eQTL	NA	NA
UFMu-01141	Zm00001d040571	multi-fam	NA	NA
UFMu-01147	Zm00001d010309	multi-fam	NA	NA
UFMu-01180	Zm00001d028962	multi-fam	NA	NA
UFMu-01221	Zm00001d005029	eQTL	NA	NA
UFMu-01251	Zm00001d010227	eQTL	NA	NA
UFMu-01283	Zm00001d006091	multi-fam	NA	NA
UFMu-01346	Zm00001d043915	biomAP	NA	NA
UFMu-01365	Zm00001d052905	multi-fam	NA	NA
UFMu-01391	Zm00001d031009	biomAP	NA	NA
