gid	gid_v3	symbol	note
Zm00001d000001	GRMZM5G851266	ppo1	polyphenol oxidase1
Zm00001d000002	GRMZM2G141399	du1	dull endosperm1
Zm00001d000009	GRMZM2G053177	ufo1	unstable factor for orange1
Zm00001d000021	GRMZM2G180720	gpt1	glucose 6-phosphate/phosphate translocator1
Zm00001d000045	GRMZM2G428470	thx28	Trihelix-transcription factor 28
Zm00001d000046	GRMZM2G015324	cbl9	calcineurin B-like9
Zm00001d000055	GRMZM2G002515	brl2	bri1-like receptor kinase2
Zm00001d000080	GRMZM2G383240	cipk8	calcineurin B-like-interacting protein kinase8
Zm00001d000110	GRMZM2G139760	mybr61	MYB-related-transcription factor 61
Zm00001d000112	GRMZM2G123667	nactf125	NAC-transcription factor 125
Zm00001d000116	GRMZM2G060800	aldh14	aldehyde dehydrogenase14
Zm00001d000120	GRMZM2G069762	mch2	maize CRY1 homolog2
Zm00001d000137	GRMZM2G420723	smk9	small kernel9
Zm00001d000161	GRMZM2G073290	betl4	basal endosperm transfer layer4
Zm00001d000168	GRMZM2G063192	cdc201	cell division cycle201
Zm00001d000169	GRMZM2G178822	mpkl2	MAP kinase-like2
Zm00001d000176	GRMZM2G004483	cct2	CO CO-LIKE TIMING OF CAB1 protein domain2
Zm00001d000178	GRMZM5G818887	atg3	autophagy3
Zm00001d000179	GRMZM5G889719	dbf2	DRE-binding protein 2
Zm00001d000183	GRMZM2G034061	mstr4	monosaccharide transporter4
Zm00001d000184	GRMZM2G034110	mybst1	single-repeat Myb protein1
Zm00001d000191	GRMZM5G887562	upl11	ubiquitin-protein ligase11
Zm00001d000204	GRMZM2G444801	sfp5	sulfate transporter5
Zm00001d000216	GRMZM2G323418	mgs3	male gametophyte specific3
Zm00001d000222	GRMZM2G039365	sweet1a	sugars will eventually be exported transporter1a
Zm00001d000236	GRMZM2G172795	b1	colored plant1
Zm00001d000237	GRMZM2G168474	czog1	cis-zeatin O-glucosyltransferase1
Zm00001d000238	GRMZM2G067743	grftf12	GRF-transcription factor 12
Zm00001d000247	GRMZM2G118063	hb17	Homeobox-transcription factor 17
Zm00001d000256	GRMZM2G142693	cal6	calmodulin6
Zm00001d000288	GRMZM2G000158	iaa25	Aux/IAA-transcription factor 25
Zm00001d000291	GRMZM2G350165	bhlh88	bHLH-transcription factor 88
Zm00001d000300	GRMZM2G165917	eif5	eucaryotic translation initiation factor5
Zm00001d000302	GRMZM2G166035	gpm803b	NA
Zm00001d000303	GRMZM2G166041	hb24	Homeobox-transcription factor 24
Zm00001d000316	GRMZM2G085019	me3	NADP malic enzyme3
Zm00001d000317	GRMZM2G152141	pmei24	pectin methylesterase inhibitor24
Zm00001d000339	GRMZM2G174347	ereb92	AP2-EREBP-transcription factor 92
Zm00001d000350	GRMZM5G809546	csy1	chloroplast SecY-1
Zm00001d000354	GRMZM2G418644	pgl9	exopolygalacturonase9
Zm00001d000358	GRMZM2G390641	arftf21	ARF-transcription factor 21
Zm00001d000361	GRMZM2G423833	myb115	MYB-transcription factor 115
Zm00001d000387	GRMZM2G027688	mab13	math-btb13
Zm00001d000399	AC215201.3_FG005	cps2	chloroplast protein synthesis2
Zm00001d000406	GRMZM2G373106	ctn4	chitinase4
Zm00001d000408	GRMZM2G171616	IDP1984	NA
Zm00001d000418	GRMZM2G144610	endo1	endosperm specific protein1
Zm00001d000430	GRMZM2G108477	mgt1	magnesium transporter1
Zm00001d000434	GRMZM2G119970	nbcs9	nucleobase:cation symporter9
Zm00001d000458	GRMZM2G121706	ofp3	OVATE-transcription factor 3
Zm00001d001490	GRMZM2G428197	TIDP3595	NA
Zm00001d001767	GRMZM2G154437	mab10	math-btb10
Zm00001d001775	GRMZM2G480621	ca3p2	CCAAT-HAP3-transcription factor 32
Zm00001d001784	GRMZM2G086876	ahl9	AT-hook motif nuclear-localized protein homolog9
Zm00001d001789	GRMZM2G165535	umc2246	NA
Zm00001d001790	GRMZM2G064212	atg4a	autophagy4a
Zm00001d001791	GRMZM2G064202	umc1419	NA
Zm00001d001798	GRMZM2G049495	mis12b	minichromosome instability12b
Zm00001d001803	GRMZM2G051917	pco137413a	NA
Zm00001d001804	GRMZM2G051974	mlo9	barley mlo defense gene homolog9
Zm00001d001807	GRMZM2G348959	AY110535	NA
Zm00001d001812	GRMZM2G457621	raf1	Rubisco Assembly Factor 1
Zm00001d001820	GRMZM2G084958	pcr1	protochlorophyllide reductase1
Zm00001d001837	GRMZM2G149958	myb133	MYB-transcription factor 133
Zm00001d001838	GRMZM2G149940	abi3	ABI3-VP1-transcription factor 3
Zm00001d001852	GRMZM2G068202	umc2186	NA
Zm00001d001864	GRMZM2G040627	udg1	uracil-DNA glycosylase1
Zm00001d001865	GRMZM2G040736	crr1	cytokinin response regulator1
Zm00001d001879	GRMZM2G078274	arftf3	ARF-transcription factor 3
Zm00001d001894	GRMZM2G081445	thx35	Trihelix-transcription factor 35
Zm00001d001896	GRMZM2G104538	cl25041_1a	NA
Zm00001d001898	GRMZM2G009994	cl11096_1	NA
Zm00001d001899	GRMZM2G010257	arpp2a-3	acidic ribosomal protein P2a-3
Zm00001d001906	GRMZM2G065012	IDP776	NA
Zm00001d001913	GRMZM2G102471	uce4	ubiquitin conjugating enzyme4
Zm00001d001915	GRMZM2G043932	phi96100	NA
