sorghum3	maize1	maize2
Sobic.001G000100	Zm00001d034942	
Sobic.001G000200	Zm00001d034941	
Sobic.001G000400	Zm00001d034940	
Sobic.001G000300		
Sobic.001G000501		
Sobic.001G000700	Zm00001d034937	
Sobic.001G000800	Zm00001d034935	
Sobic.001G000900	Zm00001d034936	
Sobic.001G001000	Zm00001d034934	
Sobic.001G001066		
Sobic.001G001132	Zm00001d034934	
Sobic.001G001200	Zm00001d034933	
Sobic.001G001300	Zm00001d034932	
Sobic.001G001400	Zm00001d034931	
Sobic.001G001700		
Sobic.001G001800		Zm00001d012799
Sobic.001G001900	Zm00001d034929	
Sobic.001G002000		
Sobic.001G002050		
Sobic.001G002100		
Sobic.001G002200	Zm00001d034927	
Sobic.001G002300	Zm00001d034925	
Sobic.001G002400	Zm00001d034924	
Sobic.001G002500	Zm00001d034920	
Sobic.001G002600		Zm00001d012800
Sobic.001G002650		
Sobic.001G002700		
Sobic.001G002800		Zm00001d012808
Sobic.001G002900		
Sobic.001G003000		Zm00001d012809
Sobic.001G003100	Zm00001d034919	
Sobic.001G003200		Zm00001d012810
Sobic.001G003300	Zm00001d034918	
Sobic.001G003400		
Sobic.001G003500	Zm00001d034918	Zm00001d012811
Sobic.001G003600	Zm00001d034917	
Sobic.001G003700	Zm00001d034916	
Sobic.001G003900		Zm00001d012812
Sobic.001G004000		Zm00001d012813
Sobic.001G004100	Zm00001d034915	
Sobic.001G004200		
Sobic.001G004300		Zm00001d012814
Sobic.001G004400	Zm00001d034914	Zm00001d012815
Sobic.001G004500		
Sobic.001G004550		
Sobic.001G004600		
Sobic.001G004700		
Sobic.001G004800	Zm00001d034901	
Sobic.001G004901		
Sobic.001G005000	Zm00001d034901	Zm00001d012816
Sobic.001G005100		
Sobic.001G005200	Zm00001d034900	
Sobic.001G005300	Zm00001d034898	
Sobic.001G005400		
Sobic.001G005500	Zm00001d034897	
Sobic.001G005600	Zm00001d034896	Zm00001d012817
Sobic.001G005700		Zm00001d012818
Sobic.001G005800	Zm00001d034894	
Sobic.001G005900	Zm00001d034893	
Sobic.001G006000	Zm00001d034892	
Sobic.001G006101		Zm00001d012819
Sobic.001G006201		Zm00001d012819
Sobic.001G006300	Zm00001d034891	
Sobic.001G006400	Zm00001d034890	Zm00001d012820
Sobic.001G006500		
Sobic.001G006600	Zm00001d034888	
Sobic.001G006700		Zm00001d012821
Sobic.001G006800		
Sobic.001G006900		
Sobic.001G007000	Zm00001d034887	
Sobic.001G007100		Zm00001d012822
Sobic.001G007200	Zm00001d034886	Zm00001d012823
Sobic.001G007300		Zm00001d012824
Sobic.001G007400		Zm00001d012825
Sobic.001G007500		Zm00001d012826
Sobic.001G007600	Zm00001d034885	Zm00001d012827
Sobic.001G007700	Zm00001d034884	
Sobic.001G007800	Zm00001d034883	
Sobic.001G007900		Zm00001d012830
Sobic.001G008000	Zm00001d034882	
Sobic.001G008100	Zm00001d034880	
Sobic.001G008200	Zm00001d034879	
Sobic.001G008300	Zm00001d034878	
Sobic.001G008400	Zm00001d034877	
Sobic.001G008500	Zm00001d034876	Zm00001d012831
Sobic.001G008600	Zm00001d034875	
Sobic.001G008700		Zm00001d012832
Sobic.001G008800		Zm00001d012833
Sobic.001G008900	Zm00001d034874	
Sobic.001G009000		
Sobic.001G009100		
Sobic.001G009200	Zm00001d034872	
Sobic.001G009300	Zm00001d034871	Zm00001d012834
Sobic.001G009400	Zm00001d034870	
Sobic.001G009500	Zm00001d034869	Zm00001d012836
Sobic.001G009600	Zm00001d034868	
Sobic.001G009700		Zm00001d012837
Sobic.001G009800	Zm00001d034867	Zm00001d012838
Sobic.001G009900	Zm00001d034866	
Sobic.001G010000	Zm00001d034865	
Sobic.001G010100	Zm00001d034865	
Sobic.001G010200	Zm00001d034863	
Sobic.001G010300	Zm00001d034862	Zm00001d012840
Sobic.001G010400	Zm00001d034859	
Sobic.001G010500	Zm00001d034858	
Sobic.001G010600	Zm00001d034858	
Sobic.001G010700		Zm00001d012844
Sobic.001G010800		
Sobic.001G010900	Zm00001d034857	Zm00001d012845
Sobic.001G011000	Zm00001d034856	Zm00001d012846
Sobic.001G011100		
Sobic.001G011200	Zm00001d034855	
Sobic.001G011300	Zm00001d034853	
Sobic.001G011400		Zm00001d012847
Sobic.001G011600	Zm00001d034852	
Sobic.001G011700	Zm00001d034851	
Sobic.001G011800	Zm00001d034849	Zm00001d012848
Sobic.001G012000	Zm00001d034848	
Sobic.001G012100		Zm00001d012849
Sobic.001G012200	Zm00001d034848	
Sobic.001G012300		
Sobic.001G012400		
Sobic.001G012500		
Sobic.001G012600		
Sobic.001G012700	Zm00001d034844	Zm00001d012850
Sobic.001G012800		Zm00001d012850
Sobic.001G012900	Zm00001d034842	Zm00001d012851
Sobic.001G013000		Zm00001d012852
Sobic.001G013100	Zm00001d034841	Zm00001d012853
Sobic.001G013200		Zm00001d012854
Sobic.001G013300		Zm00001d012855
Sobic.001G013400	Zm00001d034840	
Sobic.001G013500		Zm00001d012857
Sobic.001G013600		
Sobic.001G013701		
Sobic.001G013800	Zm00001d034839	
Sobic.001G013900	Zm00001d034838	
Sobic.001G014000	Zm00001d034836	
Sobic.001G014100	Zm00001d034835	Zm00001d012856
Sobic.001G014200	Zm00001d034834	
Sobic.001G014300		
Sobic.001G014400		
Sobic.001G014500		Zm00001d012857
Sobic.001G014600		
Sobic.001G014700		
