gid_B73	n_mu	mid	sids	fam	fam_size	fam_idx	gid_W22	map_type	impact	eff	TF45	n.tgt	m.drc	tf.type	eQTL	B_Embryo	B_Endosperm	B_Internode	B_Leaf10	B_Root	B_Shoot	P_Embryo	P_Endosperm	P_Internode	P_Leaf10	P_Root	P_Shoot	W_Embryo	W_Endosperm	W_Internode	W_Leaf10	W_Root	W_Shoot	max_W22_exp
Zm00001d000045	2	mu1016510|mu1040153	UFMu-01558,UFMu-10832,UFMu-12110,UFMu-13360,UFMu-13669|UFMu-04164	Trihelix	46	1	NA	NA	moderate	missense_variant	FALSE	0	NA	NA		5.2	3.1	10.1	3.7	7.6	5.2	3.7	4.4	8.6	5.2	9.2	5.1	5.3	5.3	13.2	6.1	9.4	12.2	9.4
Zm00001d000179	1	mu1009911	UFMu-00252	ERF	177	1	NA	NA	no_change	NA	FALSE	4	1	acti		0.6	1.7	1.3	5.3	1.9	2.6	0.9	3.8	2.6	4.3	1.2	4.1	0.9	5.0	1.3	13.1	1.9	3.8	5.0
Zm00001d000184	6	mu1009472|mu1016514|mu1025109|mu1040157|mu1054648|mu1054649	UFMu-00357|UFMu-02125|UFMu-02125|UFMu-04186|UFMu-06922|UFMu-06922	MYB_related	109	1	NA	NA	moderate	missense_variant	FALSE	0	NA	NA		27.2	7.3	65.9	21.1	23.1	20.6	44.4	4.8	196.6	19.6	32.7	28.3	61.6	4.8	126.5	17.7	46.3	23.9	61.6
Zm00001d000358	2	mu1092558|mu1095208	UFMu-13720|UFMu-11173	ARF	36	1	NA	NA	non-syntenic	NA	FALSE	0	NA	NA		6.2	6.9	10.5	22.1	13.1	45.3	7.9	7.2	11.3	19.5	11.1	35.9	3.5	9.2	2.7	19.9	7.8	18.7	9.2
Zm00001d000361	5	mu1068131|mu1068132|mu1069717|mu1085070|mu1085070	UFMu-08588,UFMu-09028,UFMu-10960,UFMu-11265|UFMu-08265|UFMu-08736|UFMu-10188|UFMu-12455	MYB	163	1	NA	NA	low	splice_region_variant	FALSE	0	NA	NA		7.1	22.2	9.2	4.1	8.7	6.6	7.6	25.5	8.6	4.0	8.4	4.6	6.0	26.7	10.8	4.6	9.6	4.6	9.6
Zm00001d001837	2	mu1033192|mu1059109	UFMu-03234,UFMu-11355|UFMu-07810	MYB	163	2	Zm00004b005928	One-to-One	low	synonymous_variant	FALSE	0	NA	NA		22.6	4.6	24.1	17.7	25.6	17.0	40.5	9.1	29.3	17.2	27.4	18.4	41.1	8.8	31.3	24.8	26.4	20.6	8.8
Zm00001d001879	2	mu1043557|mu1050551	UFMu-05170|UFMu-06531	ARF	36	2	Zm00004b005964	One-to-One	low	splice_region_variant	FALSE	4	1	acti	li2013	82.0	47.6	63.7	39.5	40.4	118.0	178.2	24.7	241.2	42.9	36.5	114.6	82.0	17.4	108.9	52.6	33.5	100.9	82.0
Zm00001d001933	3	mu1031509|mu1076720|mu1090252	UFMu-02705|UFMu-09235|UFMu-12991	C3H	55	1	Zm00004b006005	One-to-One	modifier	3_prime_UTR_variant	FALSE	0	NA	NA		52.1	55.5	47.8	23.5	37.2	31.3	45.5	37.1	38.6	31.4	41.4	32.1	43.3	49.3	68.7	35.8	39.2	31.8	68.7
Zm00001d001945	3	mu1010733|mu1021266|mu1052469	UFMu-04012|UFMu-01723|UFMu-06729	ARF	36	3	Zm00004b006017	One-to-One	high	frameshift_variant	FALSE	3	1	acti		45.9	2.1	0.2	0.2	9.9	15.1	55.5	0.2	0.2	0.1	4.5	11.4	33.6	1.3	0.1	0.4	8.3	9.7	9.7
Zm00001d001952	3	mu1014155|mu1065444|mu1076730	UFMu-02289|UFMu-00649|UFMu-09371	C3H	55	2	Zm00004b006023	One-to-One	high	exon_loss_variant	FALSE	0	NA	NA		20.6	10.0	27.3	17.0	22.5	19.1	20.9	10.2	25.7	21.9	37.1	24.3	25.5	8.1	28.4	22.4	25.9	19.8	8.1
Zm00001d002005	1	mu1038042	UFMu-04038	SBP	30	1	Zm00004b006064	One-to-One	moderate	disruptive_inframe_deletion	FALSE	0	NA	NA		0.0	0.0	0.0	0.9	0.0	1.4	0.2	0.0	0.0	1.8	0.0	0.9	0.1	0.0	0.0	2.1	0.0	0.6	2.1
Zm00001d002143	2	mu1008454|mu1018254	UFMu-00469|UFMu-00948	bZIP	128	1	Zm00004b006179	One-to-One	non-syntenic	start_lost	FALSE	2	1	acti		1.9	1.9	9.8	5.2	17.3	5.4	2.5	6.8	20.4	6.1	43.0	7.5	3.9	17.0	22.7	20.1	86.9	13.1	86.9
Zm00001d002332	3	mu1008152|mu1009574|mu1027801	UFMu-00160|UFMu-00415|UFMu-06770	MIKC_MADS	42	1	Zm00004b006324	One-to-One	moderate	missense_variant	FALSE	1	1	acti		28.5	22.3	42.9	37.2	57.2	45.6	8.5	12.1	20.0	14.2	32.3	23.1	15.7	9.6	33.1	35.6	47.5	27.8	9.6
Zm00001d002405	1	mu1047133	UFMu-06453	WRKY	121	1	Zm00004b006387	One-to-One	moderate	missense_variant	FALSE	3	1	acti		2.1	1.6	43.7	11.6	27.6	11.8	9.5	2.0	40.1	15.3	30.0	12.9	11.2	1.7	34.7	10.2	27.8	14.4	34.7
Zm00001d002449	2	mu1047144|mu1066402	UFMu-06345|UFMu-08655	LFY	2	1	Zm00004b006425	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		0.9	0.2	0.1	0.0	0.0	1.9	1.0	0.0	0.0	0.0	0.0	1.5	0.7	0.4	0.0	0.9	0.0	0.6	0.9
Zm00001d002476	1	mu1040723	UFMu-04305	MYB	163	3	Zm00004b006448	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		0.0	0.0	14.7	2.8	4.4	0.8	0.0	0.0	1.4	7.9	2.8	0.4	0.0	0.0	0.7	5.9	5.2	1.1	5.9
Zm00001d002545	1	mu1040802	UFMu-04712	MYB_related	109	4	Zm00004b006514	One-to-One	moderate	missense_variant	FALSE	9	0.5555555555555556	mix		11.6	17.9	23.3	1.6	1.6	1.5	2.0	2.4	1.5	2.2	1.4	0.7	0.4	3.2	2.2	3.1	1.1	0.6	3.2
Zm00001d002573	4	mu1035004|mu1037818|mu1044681|mu1066443	UFMu-03483|UFMu-03743|UFMu-05693|UFMu-08719	GRAS	81	2	Zm00004b006535	One-to-One	no_change	NA	FALSE	71	1	acti		5.3	4.8	22.5	6.2	8.3	7.1	6.3	7.5	30.1	6.8	11.8	6.5	5.5	15.6	25.3	14.3	9.2	6.0	9.2
Zm00001d002649	1	mu1083116	UFMu-10391	G2-like	61	3	Zm00004b006601	One-to-One	moderate	missense_variant	FALSE	0	NA	NA		2.6	0.3	0.6	0.7	0.1	4.9	1.9	0.1	0.1	1.0	0.0	4.2	0.9	0.1	0.1	0.4	0.2	3.9	3.9
